"PCBWay Bom Quotation, Product No.:T-1N289W281902A",,,,,,,,,,,,,,
Item #,*Designator,*Qty,Manufacturer,*Mfg Part #,Description / Value,*Package/Footprint,Mounting Type,*Unit Price(2 sets),*Total,*Delivery Time,*Actual Purchase Mfg Part #,*PCBWay Note,Customer Reply,PCBWay Update
1,C1,2,Murata,GJM1555C1H240JB01D,24 pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,SMD,"$0,082","$0,328",,,,,
3,C6,2,Murata,GRM155R61A333KA01,33 nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,SMD,"$0,079","$0,316",,,,,
4,L1,1,Murata,LQG15HN6N2S02,6.2 nH,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,SMD,"$0,158","$0,316",,,,,
6,H5,1,-,-,-,-,SMD,,,,,,,
7,U1,1,Analog Devices Inc./Maxim Integrated,MAX2659ELT+T,IC RF AMP GPS 1575.42MHZ 6UDFN,21-0147-L611,SMD,"$1,358","$2,716",,,,,
8,U2,1,Microchip Technology,MIC5205-2.5YM5-TR,IC REG LINEAR 2.5V 150MA SOT23-5,SOT-23-5,SMD,"$0,414","$0,828",7-10 Workdays,,,,
9,J1,1,TE Connectivity Linx,CONMCX002-SMD,CONN MCX RCPT R/A 50 OHM SMD,LINX_CONMCX002-SMD,SMD,"$15,228","$30,456",7-10 Workdays,,,,
10,J2,1,Molex,53261-0471,Distribuidores e Alojamento de Fios PicoBlade1.25 SMT RA PKG 4P,Conn_01x04_Pin,SMD,,,,,,,
11,ANT1,1,TaoGlass,GGBTP.35.3.A.40,Antenas Terrablast GGBTP.35.3.A.40 GPS L1 35*35*3.72mm ,GGBTP.35.3.A.40,PTH,,,,,,,
10,"H1, H2, H3, H4",4,-,-,-,-,-,,,,,,,
,,,,,,,,Component Cost,,,,,,
,,,,,,,,Assembly Cost,,,,,,
,,,,,,,,PCB Cost,,,,,,
,,,,,,,,V4 Member 4% off,,,,,,
,,,,,,,,All Total 2 Sets,,,,,,
